cc_0_1_0,"Creative Commons Public Domain Dedication (CC0 1.0)"
cc_by_4_0,"Creative Commons Attribution 4.0 International Public License (CC-BY 4.0)"
cc_by_sa_4_0,"Creative Commons Attribution-ShareAlike 4.0 International Public License (CC BY-SA 4.0)"
cc_by_nd_4_0,"Creative Commons Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0)"
cc_by_nc_4_0,"Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)"
cc_by_nc_sa_4_0,"Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)"
cc_by_nc_nd_4_0,"Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)"
pddl_1_0,"ODC Public Domain Dedication and Licence (PDDL) v1.0"
odc-by_1_0,"Open Data Commons Attribution License (ODC-By) v1.0"
odbl_1_0,"Open Database License (ODbL) v1.0"
cc_by_3_0,"Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
cc_by_sa_3_0,"Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)"
cc_by_nd_3_0,"Creative Commons Attribution-NoDerivs 3.0 Unported (CC BY-ND 3.0)"
cc_by_nc_3_0,"Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0)"
cc_by_nc_sa_3_0,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)"
cc_by_nc_nd_3_0,"Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0)"
apache_2_0,"Apache License,Version 2.0"
bsd-3-clause,"The 3-Clause BSD License"
bsd-2-clause,"The 2-Clause BSD License"
gpl_3_0,"GNU General Public License 3.0"
lgpl_3_0,"GNU Lesser General Public License 3.0"
mit,"The MIT License"
mpl_2_0,"Mozilla Public License (2.0)"
