pub,pub
book,book
book_editor,bookEditor
bookEditor,book_editor
book_chapter,bookChapter
bookChapter,book_chapter
review,review
conference_abstract,conferenceAbstract
conferenceAbstract,conference_abstract
conference_editor,conferenceEditor
conferenceEditor,conference_editor
conference,conference
dissertation,dissertation
encyclopedia_article,encyclopediaArticle
encyclopediaArticle,encyclopedia_article
journal_article,journalArticle
journalArticle,journal_article
journal_editor,journalEditor
journalEditor,journal_editor
newspaper_article,newspaperArticle
newspaperArticle,newspaper_article
patent,patent
preprint,preprint
report,report
translation,translation
translation_chapter,translationChapter
translationChapter,translation_chapter
working_paper,workingPaper
workingPaper,working_paper
bi_dissertation,biDissertation
biDissertation,bi_dissertation
bi_master_thesis,biMasterThesis
biMasterThesis,bi_master_thesis
bi_postdoc_thesis,biPostdocThesis
biPostdocThesis,bi_postdoc_thesis
bi_bachelor_thesis,biBachelorThesis
biBachelorThesis,bi_bachelor_thesis
